# English irregular forms — DERIVED from AGID (Atkinson 2016, [sources.agid])
# by regenerate_english_irregulars_tsv: every inflected form a productive
# English rule (Quirk et al. 1985 §3) cannot generate. surface<TAB>lemma<TAB>kind.
# DO NOT hand-edit — regenerate with --ignored regenerate_english_irregulars_tsv.
abashless	abashless	PluralNoun
abbesses	abbes	PluralNoun
abdominocenteses	abdominocentesis	PluralNoun
abeammer	abeam	Comparative
abeammest	abeam	Superlative
abetting	abet	PresentParticiple
abhorring	abhor	PresentParticiple
abiogeneses	abiogenesis	PluralNoun
abioses	abiosis	PluralNoun
abloommer	abloom	Comparative
abloommest	abloom	Superlative
abode	abide	PastTense
abomasa	abomasum	PluralNoun
aboutter	about	Comparative
abouttest	about	Superlative
abraseing	abrase	PresentParticiple
abroadder	abroad	Comparative
abroaddest	abroad	Superlative
abutting	abut	PresentParticiple
acanthocytoses	acanthocytosis	PluralNoun
acantholyses	acantholysis	PluralNoun
acanthoses	acanthosis	PluralNoun
acari	acarus	PluralNoun
acariases	acariasis	PluralNoun
acaridomatia	acaridomatium	PluralNoun
acarioses	acariosis	PluralNoun
accentless	accentless	PluralNoun
accruing	accrue	PresentParticiple
acervuli	acervulus	PluralNoun
acetylizeing	acetylize	PresentParticiple
acidoses	acidosis	PluralNoun
acini	acinus	PluralNoun
acquitted	acquit	PastTense
acquitting	acquit	PresentParticiple
acrocyanoses	acrocyanosis	PluralNoun
acroteria	acroterion	PluralNoun
actinobacilli	actinobacillus	PluralNoun
actinomycoses	actinomycosis	PluralNoun
actionless	actionless	PluralNoun
aculei	aculeus	PluralNoun
addenda	addendum	PluralNoun
addling	addling	PluralNoun
adenohypophyses	adenohypophysis	PluralNoun
adenomyoses	adenomyosis	PluralNoun
adenoses	adenosis	PluralNoun
adiaphora	adiaphoron	PluralNoun
adiposes	adiposis	PluralNoun
admen	adman	PluralNoun
admitting	admit	PresentParticiple
advancemen	advanceman	PluralNoun
adventuresses	adventures	PluralNoun
adyta	adytum	PluralNoun
aecia	aecium	PluralNoun
aecidia	aecidium	PluralNoun
aeolianner	aeolian	Comparative
aeoliannest	aeolian	Superlative
aeonianner	aeonian	Comparative
aeoniannest	aeonian	Superlative
aerobia	aerobium	PluralNoun
aerobioses	aerobiosis	PluralNoun
aeroneuroses	aeroneurosis	PluralNoun
affectionless	affectionless	PluralNoun
affectless	affectless	PluralNoun
afloatter	afloat	Comparative
afloattest	afloat	Superlative
afootter	afoot	Comparative
afoottest	afoot	Superlative
afraidder	afraid	Comparative
afraiddest	afraid	Superlative
againner	again	Comparative
againnest	again	Superlative
agalactoses	agalactosis	PluralNoun
agamogeneses	agamogenesis	PluralNoun
agapae	agape	PluralNoun
